date,value
21-2-2014,1426.998
22-2-2014,1208.998
23-2-2014,1142.45
24-2-2014,1249.894
25-2-2014,1410.834
26-2-2014,1446.592
27-2-2014,1464.129
28-2-2014,1476.95
1-3-2014,1087.396
2-3-2014,1030.012
3-3-2014,999.311
4-3-2014,1066.641
5-3-2014,1059.022
6-3-2014,1135.305
7-3-2014,1145.123
8-3-2014,1067.464
9-3-2014,1012.046
10-3-2014,972.646
11-3-2014,1060.571
12-3-2014,1036.43
13-3-2014,1060.848
14-3-2014,1200.352
15-3-2014,1108.988
16-3-2014,1058.015
17-3-2014,1064.089
18-3-2014,1076.333
19-3-2014,1028.204
20-3-2014,1022.695
21-3-2014,1069.993
22-3-2014,1044.237
23-3-2014,995.878
24-3-2014,1010.334
25-3-2014,1051.88
26-3-2014,1028.666
27-3-2014,1026.521
28-3-2014,1015.242
29-3-2014,1009.52
30-3-2014,992.821
31-3-2014,999.614
1-4-2014,1060.858
2-4-2014,995.349
3-4-2014,986.818
4-4-2014,964.354
5-4-2014,978.343
6-4-2014,963.073
7-4-2014,977.27
8-4-2014,957.755
9-4-2014,983.83
10-4-2014,992.638
11-4-2014,986.18
12-4-2014,992.568
13-4-2014,977.802
14-4-2014,965.829
15-4-2014,951.787
16-4-2014,921.167
17-4-2014,933.993
18-4-2014,919.505
19-4-2014,923.622
20-4-2014,905.072
21-4-2014,885.537
22-4-2014,911.962
23-4-2014,899.308
24-4-2014,902.095
25-4-2014,923.934
26-4-2014,926.447
27-4-2014,896.771
28-4-2014,871.88
29-4-2014,901.076
30-4-2014,902.952
1-5-2014,890.765
2-5-2014,772.784
3-5-2014,757.742
4-5-2014,744.501
5-5-2014,719.979
6-5-2014,714.733
7-5-2014,757.33
8-5-2014,760.433
9-5-2014,657.331
10-5-2014,623.853
11-5-2014,550.847
12-5-2014,542.018
13-5-2014,569.284
14-5-2014,579.182
15-5-2014,542.732
16-5-2014,536.907
17-5-2014,529.057
18-5-2014,517.222
19-5-2014,508.388
20-5-2014,525.858
21-5-2014,528.798
22-5-2014,516.798
23-5-2014,506.512
24-5-2014,505.046
25-5-2014,488.351
26-5-2014,493.925
27-5-2014,496.532
28-5-2014,477.819
29-5-2014,470.977
30-5-2014,481.137
31-5-2014,471.2
1-6-2014,463.923
2-6-2014,443.678
3-6-2014,463.43
4-6-2014,462.981
5-6-2014,441.67
6-6-2014,443.97
7-6-2014,430.691
8-6-2014,410.719
9-6-2014,416.338
10-6-2014,425.275
11-6-2014,404.796
12-6-2014,399.679
13-6-2014,414.411
14-6-2014,429.133
15-6-2014,423.376
16-6-2014,440.029
17-6-2014,397.58
18-6-2014,401.669
19-6-2014,388.989
20-6-2014,342.822
21-6-2014,326.025
22-6-2014,313.534
23-6-2014,304.424
24-6-2014,298.461
25-6-2014,316.251
26-6-2014,320.904
27-6-2014,328.617
28-6-2014,340.005
29-6-2014,333.988
30-6-2014,324.815
1-7-2014,362.877
2-7-2014,262.182
3-7-2014,307.507
4-7-2014,326.327
5-7-2014,334.767
6-7-2014,336.816
7-7-2014,343.196
8-7-2014,350.467
9-7-2014,358.421
10-7-2014,358.945
11-7-2014,343.197
12-7-2014,353.276
13-7-2014,357.565
14-7-2014,364.096
15-7-2014,380.863
16-7-2014,377.364
17-7-2014,359.765
18-7-2014,362.772
19-7-2014,362.237
20-7-2014,338.853
21-7-2014,349.091
22-7-2014,352.631
23-7-2014,360.57
24-7-2014,361.14
25-7-2014,377.436
26-7-2014,368.043
27-7-2014,378.228
28-7-2014,378.231
29-7-2014,385.28
30-7-2014,394.398
31-7-2014,396.194
1-8-2014,397.522
2-8-2014,434.949
3-8-2014,416.494
4-8-2014,395.429
5-8-2014,383.15
6-8-2014,398.407
7-8-2014,402.036
8-8-2014,413.973
9-8-2014,400.112
10-8-2014,400.144
11-8-2014,399.014
12-8-2014,397.574
13-8-2014,409.471
14-8-2014,439.946
15-8-2014,436.614
16-8-2014,441.569
17-8-2014,390.887
18-8-2014,392.954
19-8-2014,412.52
20-8-2014,406.017
21-8-2014,413.13
22-8-2014,411.626
23-8-2014,412.134
24-8-2014,412.636
25-8-2014,418.169
26-8-2014,430.448
27-8-2014,435.099
28-8-2014,431.62
29-8-2014,431.883
30-8-2014,439.644
31-8-2014,428.352
1-9-2014,450.875
2-9-2014,445.533
3-9-2014,459.677
4-9-2014,461.199
5-9-2014,436.272
6-9-2014,439.158
7-9-2014,431.09
8-9-2014,439.65
9-9-2014,444.467
10-9-2014,447.978
11-9-2014,441.982
12-9-2014,421.916
13-9-2014,421.068
